pickup_datetime,fare_amount,fare_class,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2010-04-19 08:17:56 UTC,6.5,0,-73.992365,40.730521,-73.975499,40.744746,1
2010-04-17 15:43:53 UTC,6.9,0,-73.990078,40.740558,-73.974232,40.744114,1
2010-04-17 11:23:26 UTC,10.1,1,-73.994149,40.751118,-73.960064,40.766235,2
2010-04-11 21:25:03 UTC,8.9,0,-73.990485,40.756422,-73.971205,40.748192,1
2010-04-17 02:19:01 UTC,19.7,1,-73.990976,40.734202,-73.905956,40.743115,1
2010-04-22 08:39:47 UTC,8.1,0,-73.980481,40.748995,-73.983508,40.766459,1
2010-04-23 19:27:00 UTC,4.9,0,-73.959535,40.779582,-73.947185,40.780223,1
2010-04-15 09:03:37 UTC,4.9,0,-74.002601,40.739419,-73.997912,40.730292,1
2010-04-20 08:58:00 UTC,2.9,0,-74.014005,40.704058,-74.013202,40.702877,1
2010-04-16 18:50:16 UTC,6.1,0,-73.977689,40.784175,-73.988639,40.778669,1
2010-04-22 22:26:23 UTC,7.3,0,-74.007913,40.740409,-73.985561,40.752076,1
2010-04-15 17:40:18 UTC,3.7,0,-73.954965,40.76503,-73.962556,40.766464,1
2010-04-23 12:12:08 UTC,17.3,1,-73.997107,40.722116,-73.976628,40.775252,1
2010-04-18 02:35:26 UTC,4.1,0,-73.989126,40.730024,-73.981524,40.732671,1
2010-04-21 10:12:59 UTC,6.9,0,-73.990641,40.755181,-73.973317,40.763224,2
2010-04-20 23:31:17 UTC,9.3,0,-73.973145,40.761542,-73.940974,40.79271,1
2010-04-15 21:54:26 UTC,14.1,1,-74.002233,40.734468,-73.961872,40.764459,2
2010-04-15 08:55:51 UTC,5.7,0,-73.961552,40.768434,-73.969448,40.763188,1
2010-04-14 23:12:52 UTC,2.9,0,-73.988522,40.741219,-73.983734,40.739019,1
2010-04-14 01:22:00 UTC,3.7,0,-73.98613,40.722437,-73.980585,40.730057,5
2010-04-20 11:27:29 UTC,36,1,-73.874537,40.774075,-73.985187,40.760783,1
2010-04-12 09:37:56 UTC,11.3,1,-74.006172,40.717227,-73.979662,40.760502,1
2010-04-13 13:55:05 UTC,4.9,0,-73.998762,40.734666,-73.988645,40.735559,1
2010-04-20 16:33:00 UTC,14.5,1,-73.987602,40.755443,-74.010645,40.702258,2
2010-04-21 14:03:52 UTC,4.9,0,-73.957767,40.773552,-73.965617,40.76557,1
2010-04-24 09:16:19 UTC,4.5,0,-74.003534,40.726936,-73.995011,40.73976,1
2010-04-11 21:38:28 UTC,7.3,0,-73.957105,40.772402,-73.984277,40.767459,1
2010-04-22 23:36:50 UTC,36.19,1,-73.997149,40.722444,-73.904307,40.88707,1
2010-04-23 19:11:42 UTC,8.5,0,-73.986207,40.726464,-73.999319,40.740836,2
2010-04-20 22:21:56 UTC,3.7,0,-73.959061,40.771894,-73.955128,40.768903,2
2010-04-17 17:32:17 UTC,25.47,1,-73.905894,40.767998,-73.970483,40.764106,1
2010-04-23 10:43:26 UTC,4.1,0,-73.984325,40.733154,-73.991004,40.724207,1
2010-04-18 01:15:04 UTC,10.9,1,-73.977654,40.787098,-73.942192,40.798901,4
2010-04-22 17:36:39 UTC,7.3,0,-73.948963,40.781815,-73.976233,40.788441,1
2010-04-12 19:59:46 UTC,5.6,0,-73.992873,40.702652,-73.993012,40.69856,1
2010-04-14 23:06:23 UTC,5.7,0,-73.997268,40.747084,-73.978688,40.752341,1
2010-04-12 15:32:00 UTC,9.7,0,-73.961225,40.765078,-73.98538,40.753045,2
2010-04-25 00:53:57 UTC,7.3,0,-73.994518,40.72494,-74.011771,40.713589,1
2010-04-13 16:30:09 UTC,7.7,0,-73.99479,40.740427,-73.986983,40.756418,1
2010-04-23 17:27:00 UTC,12.9,1,-73.965633,40.758602,-74.003723,40.742728,5
2010-04-22 10:05:34 UTC,4.9,0,-73.946284,40.777335,-73.94722,40.784201,1
2010-04-15 12:49:31 UTC,15.3,1,-73.966694,40.756696,-73.972812,40.792699,1
2010-04-20 17:08:00 UTC,12.9,1,-73.957722,40.776365,-73.994088,40.746267,1
2010-04-20 18:53:48 UTC,6.5,0,-73.998579,40.755664,-73.999175,40.739419,1
2010-04-18 15:51:08 UTC,6.5,0,-73.958505,40.772691,-73.959218,40.777736,2
2010-04-14 19:26:10 UTC,6.5,0,-73.962495,40.776293,-73.981732,40.780269,1
2010-04-19 19:17:03 UTC,6.5,0,-73.972368,40.787217,-73.983979,40.736176,1
2010-04-20 12:59:44 UTC,6.9,0,-73.978707,40.740896,-73.990365,40.731084,2
2010-04-22 18:46:55 UTC,6.9,0,-73.967681,40.80265,-73.951028,40.825629,1
2010-04-11 20:13:49 UTC,10.9,1,-74.011318,40.715533,-74.010778,40.704945,1
2010-04-11 12:23:31 UTC,5.3,0,-73.991315,40.750363,-73.979872,40.761105,1
2010-04-24 12:04:28 UTC,7.3,0,-74.007911,40.723247,-73.995586,40.723292,1
2010-04-17 19:55:14 UTC,16.1,1,-73.996671,40.723498,-73.979331,40.783522,2
2010-04-24 14:57:22 UTC,7.7,0,-73.962135,40.779232,-73.971829,40.76574,1
2010-04-23 15:40:26 UTC,4.9,0,-73.97678,40.77524,-73.979925,40.780864,1
2010-04-23 20:14:02 UTC,4.1,0,-73.984541,40.748735,-73.987262,40.73978,1
2010-04-13 16:38:19 UTC,6.9,0,-73.979459,40.75581,-74.001917,40.739549,1
2010-04-13 20:54:41 UTC,9.7,0,-73.999314,40.744113,-73.982069,40.770611,1
2010-04-20 09:10:21 UTC,13.3,1,-73.973031,40.748135,-73.96177,40.779181,2
2010-04-15 14:40:44 UTC,3.7,0,-73.993637,40.756989,-73.999668,40.755534,1
2010-04-17 18:48:16 UTC,6.1,0,-73.976212,40.765746,-73.979481,40.780247,1
2010-04-16 20:28:05 UTC,6.5,0,-73.984271,40.770131,-73.998061,40.761426,2
2010-04-14 13:04:11 UTC,4.5,0,-73.99868,40.722984,-73.99156,40.72375,1
2010-04-14 20:16:05 UTC,4.5,0,-73.937953,40.796923,-73.943103,40.785992,1
2010-04-15 17:18:44 UTC,33.3,1,-73.930511,40.752836,-73.790792,40.694239,1
2010-04-21 03:35:57 UTC,11.7,1,-73.987717,40.721095,-73.984841,40.76469,2
2010-04-22 22:57:07 UTC,3.7,0,-74.000266,40.737743,-74.006746,40.730845,1
2010-04-19 12:10:12 UTC,8.5,0,-73.991836,40.734976,-74.010198,40.731259,1
2010-04-11 19:04:23 UTC,9.3,0,-74.001371,40.720085,-73.987489,40.744965,2
2010-04-19 20:51:32 UTC,12.5,1,-74.00285,40.733709,-74.000175,40.682693,1
2010-04-15 13:21:29 UTC,13.7,1,-73.965789,40.765623,-73.99899,40.726683,1
2010-04-15 13:40:17 UTC,11.3,1,-73.987106,40.776084,-73.989996,40.738073,1
2010-04-23 12:30:03 UTC,6.1,0,-73.956767,40.785878,-73.96216,40.770349,1
2010-04-15 00:03:38 UTC,6.9,0,-74.007622,40.740098,-74.003264,40.724011,2
2010-04-16 17:38:21 UTC,11.7,1,-73.984292,40.747586,-73.955966,40.776106,1
2010-04-16 22:37:42 UTC,14.5,1,-73.974619,40.783168,-73.983574,40.750014,1
2010-04-11 18:52:59 UTC,10.5,1,-73.983992,40.769164,-73.98857,40.74464,3
2010-04-20 16:37:00 UTC,6.1,0,-73.994325,40.744275,-73.978852,40.752045,1
2010-04-14 08:44:57 UTC,6.9,0,-73.978455,40.777391,-73.979461,40.761358,1
2010-04-15 16:11:42 UTC,8.9,0,-73.986518,40.770095,-74.006983,40.751423,1
2010-04-16 22:05:22 UTC,6.5,0,-73.986833,40.740406,-74.004442,40.740551,1
2010-04-23 02:04:23 UTC,13.3,1,-73.984724,40.728431,-73.950213,40.784044,1
2010-04-23 17:22:44 UTC,25.47,1,-73.947504,40.776224,-73.864947,40.770442,1
2010-04-12 07:53:29 UTC,6.1,0,-73.977592,40.774375,-73.972994,40.761635,1
2010-04-22 04:21:00 UTC,4.5,0,-73.985887,40.754103,-73.991157,40.747998,1
2010-04-19 07:30:00 UTC,5.3,0,-73.967452,40.769155,-73.95447,40.786823,1
2010-04-17 21:14:55 UTC,5.3,0,-73.970208,40.751519,-73.983533,40.734438,1
2010-04-16 22:01:43 UTC,6.9,0,-73.952313,40.792688,-73.972515,40.764688,2
2010-04-16 20:07:04 UTC,7.3,0,-73.989926,40.75346,-74.006183,40.734855,1
2010-04-14 13:28:25 UTC,7.3,0,-73.992596,40.748737,-74.003801,40.720758,1
2010-04-17 09:39:20 UTC,4.1,0,-73.98183,40.736703,-73.99069,40.740354,1
2010-04-19 06:58:38 UTC,16.1,1,-73.952687,40.792119,-74.010115,40.714708,1
2010-04-22 09:38:21 UTC,4.5,0,-73.988552,40.731426,-73.983257,40.739206,1
2010-04-23 12:57:53 UTC,4.9,0,-73.946946,40.775791,-73.954964,40.783169,1
2010-04-12 08:57:35 UTC,7.7,0,-73.97397,40.73823,-73.982378,40.747635,1
2010-04-20 19:47:28 UTC,6.5,0,-73.962215,40.764135,-73.977032,40.746147,1
2010-04-12 20:58:41 UTC,5.3,0,-73.953661,40.790733,-73.972556,40.785881,1
2010-04-24 23:47:28 UTC,7.3,0,-73.988921,40.758586,-74.004236,40.742353,2
2010-04-11 18:24:52 UTC,6.5,0,-73.980392,40.765207,-73.977402,40.75384,2
2010-04-18 17:09:57 UTC,6.1,0,-73.973793,40.77935,-73.97775,40.764035,3
2010-04-20 05:37:19 UTC,6.1,0,-73.953335,40.767437,-73.971176,40.757646,1
2010-04-18 07:59:06 UTC,4.1,0,-73.994256,40.751217,-73.986753,40.757666,1
2010-04-16 22:18:15 UTC,28.1,1,-73.984773,40.770146,-73.977266,40.669067,4
2010-04-17 18:30:38 UTC,6.1,0,-73.997926,40.745965,-73.988852,40.758356,1
2010-04-17 07:01:50 UTC,16.5,1,-74.007646,40.704816,-73.99732,40.760478,1
2010-04-13 11:04:22 UTC,7.3,0,-73.974915,40.74608,-73.982679,40.757284,1
2010-04-11 22:33:21 UTC,15.3,1,-73.98803,40.720845,-73.983889,40.779631,2
2010-04-12 13:18:06 UTC,4.5,0,-73.957629,40.780455,-73.9498,40.784301,1
2010-04-12 11:50:30 UTC,7.3,0,-73.977989,40.773666,-73.95826,40.782012,1
2010-04-20 23:25:37 UTC,4.9,0,-73.966892,40.76977,-73.957738,40.782965,1
2010-04-13 12:15:06 UTC,7.3,0,-73.988927,40.736775,-73.995085,40.752925,1
2010-04-11 18:50:27 UTC,5.3,0,-73.990266,40.743701,-73.981018,40.757028,1
2010-04-20 19:23:37 UTC,6.1,0,-74.00855,40.726052,-74.013029,40.718378,1
2010-04-22 21:15:45 UTC,20.1,1,-73.968215,40.762328,-73.99841,40.693751,1
2010-04-21 13:35:16 UTC,6.5,0,-73.942002,40.787164,-73.95478,40.788305,1
2010-04-21 23:39:00 UTC,5.3,0,-73.978497,40.764817,-73.963213,40.76331,1
2010-04-22 13:01:49 UTC,9.7,0,-73.997698,40.761294,-73.996852,40.73249,1
2010-04-24 17:14:18 UTC,8.5,0,-73.984227,40.759194,-73.990882,40.734718,1
2010-04-12 14:55:23 UTC,8.5,0,-73.954111,40.764328,-73.96045,40.778621,1
2010-04-17 00:57:30 UTC,14.1,1,-73.990081,40.732747,-73.965362,40.771772,1
2010-04-14 23:06:10 UTC,23.3,1,-73.950886,40.72401,-73.977678,40.783887,2
2010-04-13 20:02:38 UTC,11.3,1,-73.973241,40.764046,-73.968454,40.76761,4
2010-04-17 00:59:15 UTC,12.1,1,-73.987793,40.720978,-74.007668,40.732189,3
2010-04-19 17:04:15 UTC,3.3,0,-74.00068,40.746899,-74.005204,40.74028,1
2010-04-14 18:24:26 UTC,18.5,1,-73.954574,40.765582,-74.015692,40.711274,2
2010-04-19 15:15:53 UTC,4.9,0,-73.981871,40.764047,-73.983955,40.774882,1
2010-04-24 19:57:09 UTC,21.3,1,-73.985903,40.762545,-74.002734,40.719488,4
2010-04-20 23:07:39 UTC,4.5,0,-73.986415,40.760023,-73.981443,40.767782,1
2010-04-14 13:44:36 UTC,45,1,-73.998592,40.72962,-73.789772,40.646953,1
2010-04-24 04:25:00 UTC,4.9,0,-73.985848,40.66979,-73.998882,40.661978,1
2010-04-20 21:10:55 UTC,4.5,0,-73.982291,40.731636,-73.980099,40.743148,1
2010-04-24 14:32:07 UTC,16.5,1,-73.987359,40.757756,-73.996426,40.71906,4
2010-04-23 09:19:14 UTC,9.3,0,-74.006318,40.744692,-73.980923,40.754899,1
2010-04-23 23:10:37 UTC,7.7,0,-73.966181,40.764962,-73.971826,40.78467,1
2010-04-14 15:19:27 UTC,6.5,0,-73.942853,40.793998,-73.943012,40.794122,1
2010-04-17 11:29:52 UTC,8.1,0,-73.958933,40.76809,-73.974762,40.74199,1
2010-04-24 02:15:25 UTC,7.3,0,-73.991938,40.722019,-73.963725,40.710377,1
2010-04-21 20:25:52 UTC,6.5,0,-73.980586,40.726084,-73.990286,40.714347,1
2010-04-16 08:33:46 UTC,8.1,0,-73.959633,40.813904,-73.94026,40.839679,1
2010-04-16 13:14:51 UTC,16.5,1,-73.972906,40.756191,-74.016707,40.704764,1
2010-04-13 00:52:20 UTC,11.3,1,-73.999628,40.728477,-74.000263,40.682286,1
2010-04-18 01:40:41 UTC,8.9,0,-73.988005,40.718628,-73.995717,40.735247,1
2010-04-17 12:40:20 UTC,6.5,0,-73.953412,40.777694,-73.968701,40.764479,1
2010-04-17 12:37:22 UTC,8.1,0,-73.988859,40.736746,-73.997268,40.753895,2
2010-04-14 17:12:22 UTC,8.1,0,-73.953602,40.775407,-73.979572,40.786137,2
2010-04-18 00:30:01 UTC,12.9,1,-73.999114,40.760713,-73.99797,40.719529,1
2010-04-13 19:49:05 UTC,9.3,0,-73.995607,40.730004,-73.994549,40.760847,1
2010-04-11 16:18:20 UTC,6.1,0,-73.983405,40.75544,-73.970206,40.754815,2
2010-04-18 00:03:43 UTC,6.1,0,-74.003768,40.725598,-73.995423,40.743936,1
2010-04-17 04:17:01 UTC,16.9,1,-73.985488,40.744421,-73.930268,40.703804,1
2010-04-13 22:34:48 UTC,17.3,1,-73.974598,40.786721,-74.01693,40.710789,1
2010-04-16 10:55:25 UTC,5.7,0,-73.994304,40.745502,-73.984363,40.739279,1
2010-04-13 10:00:03 UTC,45,1,-73.986556,40.722168,-73.790443,40.646707,1
2010-04-15 17:50:36 UTC,10.1,1,-73.959262,40.771616,-73.983201,40.777568,1
2010-04-14 08:08:01 UTC,11.7,1,-73.962437,40.763345,-74.005487,40.751165,1
2010-04-18 05:43:39 UTC,9.7,0,-73.985487,40.739819,-73.987714,40.710649,1
2010-04-24 00:07:48 UTC,8.9,0,-74.003513,40.726937,-73.979049,40.762206,1
2010-04-12 11:49:39 UTC,14.1,1,-73.966989,40.73971,-73.971173,40.744492,1
2010-04-23 06:10:56 UTC,49.57,1,-73.789188,40.641833,-73.951056,40.774574,4
2010-04-16 06:36:34 UTC,13.3,1,-73.990379,40.714498,-73.997536,40.761137,1
2010-04-18 14:53:04 UTC,6.1,0,-73.993612,40.691833,-73.984651,40.679597,1
2010-04-21 06:57:48 UTC,6.1,0,-73.991409,40.770735,-73.979833,40.755302,1
2010-04-20 19:41:58 UTC,12.5,1,-73.970715,40.764778,-74.004675,40.740739,1
2010-04-17 08:01:48 UTC,19.7,1,-73.969105,40.798398,-74.010924,40.709023,1
2010-04-12 21:35:07 UTC,6.9,0,-73.9704,40.75869,-73.985145,40.736436,1
2010-04-17 15:01:16 UTC,16.1,1,-73.945739,40.780145,-73.995129,40.759979,1
2010-04-13 08:45:30 UTC,6.5,0,-73.960355,40.761475,-73.95321,40.77157,1
2010-04-12 19:03:32 UTC,6.9,0,-73.980102,40.789868,-73.965529,40.809233,1
2010-04-25 00:51:47 UTC,39.3,1,-73.990726,40.756707,-73.883248,40.669491,2
2010-04-14 14:34:20 UTC,18.1,1,-74.008653,40.72045,-73.955228,40.765622,1
2010-04-16 08:22:53 UTC,4.9,0,-73.976702,40.755917,-73.978869,40.762146,1
2010-04-15 20:33:06 UTC,5.7,0,-73.985945,40.722754,-74.001509,40.726288,1
2010-04-21 17:41:24 UTC,10.5,1,-73.985898,40.759814,-73.954439,40.769949,1
2010-04-19 10:49:26 UTC,6.1,0,-73.97345,40.763476,-73.98564,40.755274,1
2010-04-24 20:28:34 UTC,6.5,0,-73.958314,40.764621,-73.950289,40.785646,1
2010-04-23 20:09:00 UTC,14.1,1,-73.982228,40.778233,-74.009045,40.719368,5
2010-04-22 18:06:45 UTC,14.1,1,-73.974369,40.750324,-73.987221,40.765469,4
2010-04-14 22:28:44 UTC,23.7,1,-73.97792,40.746199,-73.905628,40.823531,1
2010-04-23 16:52:59 UTC,8.1,0,-73.989319,40.747533,-73.975439,40.747811,1
2010-04-20 11:39:57 UTC,14.1,1,-73.981323,40.733,-74.013615,40.702388,1
2010-04-16 01:32:38 UTC,3.7,0,-74.007629,40.740803,-74.006866,40.743975,3
2010-04-17 14:46:42 UTC,14.9,1,-74.010488,40.70964,-73.976989,40.75177,2
2010-04-23 19:11:33 UTC,4.9,0,-73.995663,40.728251,-73.997554,40.738587,1
2010-04-19 14:21:46 UTC,8.1,0,-73.965147,40.755078,-73.972466,40.764926,1
2010-04-24 22:50:30 UTC,5.3,0,-73.993985,40.724737,-73.998341,40.735118,1
2010-04-11 15:29:49 UTC,6.1,0,-73.981737,40.778334,-73.966971,40.800114,1
2010-04-22 14:32:51 UTC,4.5,0,-73.993761,40.728095,-73.982673,40.723106,1
2010-04-13 01:46:53 UTC,3.7,0,-73.97855,40.745222,-73.977045,40.751929,1
2010-04-16 00:37:22 UTC,12.1,1,-73.988729,40.722329,-73.950569,40.721633,1
2010-04-24 03:15:30 UTC,24.1,1,-74.011505,40.704045,-73.907844,40.770846,2
2010-04-21 06:31:34 UTC,8.9,0,-73.978666,40.736766,-73.965259,40.772803,1
2010-04-11 15:41:27 UTC,7.7,0,-73.999583,40.749015,-73.989429,40.730285,3
2010-04-19 19:21:43 UTC,8.1,0,-73.974795,40.744646,-73.954674,40.768227,1
2010-04-11 22:07:49 UTC,6.1,0,-73.979038,40.752717,-73.980812,40.764272,1
2010-04-16 10:25:41 UTC,4.9,0,-73.97193,40.750268,-73.979963,40.739345,1
2010-04-16 12:50:53 UTC,11.7,1,-73.97891,40.736303,-73.980596,40.762925,1
2010-04-23 15:19:37 UTC,7.3,0,-73.982639,40.755949,-73.989833,40.73907,1
2010-04-11 18:58:39 UTC,9.7,0,-73.96436,40.807629,-73.937419,40.815241,1
2010-04-13 17:39:03 UTC,5.3,0,-73.937779,40.797138,-73.950182,40.799018,1
2010-04-19 21:35:00 UTC,7.3,0,-73.982013,40.768065,-73.96482,40.792713,1
2010-04-15 19:08:35 UTC,8.1,0,-73.982335,40.770643,-73.968704,40.754542,1
2010-04-19 22:00:11 UTC,5.3,0,-73.997032,40.737445,-73.980828,40.729858,1
2010-04-21 17:26:20 UTC,6.5,0,-73.984796,40.753062,-73.981287,40.769047,1
2010-04-19 10:38:41 UTC,7.3,0,-74.008419,40.738649,-73.993458,40.72435,1
2010-04-16 16:54:46 UTC,6.1,0,-73.987112,40.733441,-74.005972,40.735857,1
2010-04-21 16:08:13 UTC,8.9,0,-73.982444,40.764973,-74.006932,40.751352,3
2010-04-18 19:26:00 UTC,8.1,0,-73.993635,40.763283,-73.992527,40.749823,1
2010-04-22 09:27:09 UTC,7.3,0,-73.97721,40.751919,-73.985998,40.75212,1
2010-04-18 14:32:09 UTC,4.1,0,-73.96283,40.758273,-73.961599,40.76748,1
2010-04-19 03:23:00 UTC,13.3,1,-73.970516,40.784894,-74.006332,40.734418,1
2010-04-13 16:00:06 UTC,5.3,0,-73.949239,40.780931,-73.957507,40.773424,1
2010-04-15 19:46:15 UTC,12.1,1,-73.973823,40.766308,-73.922873,40.7766,2
2010-04-16 19:24:40 UTC,22.9,1,-73.970811,40.758918,-73.973821,40.669023,1
2010-04-20 20:05:34 UTC,4.9,0,-73.9971,40.742182,-73.994729,40.737361,2
